x,y
0,0
-6,10
-8,9
-7,9
-7,8
-6,8
-7,7
-6,8
-6,10
-7,9
-6,9
-7,8
-7,6
-6,8
-7,10
-6,9
-7,8
-6,9
-6,8
-7,9
-7,8
-6,10
-7,9
-5,8
-4,8
-5,8
-3,9
-4,9
0,10
